                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3787,                 2.6552,                 1.1657,                 0.8231,                0.87429,                0.80157,                0.34712,                 1.8618,                 1.9539,                 1.6736,             0.00066286,             0.00066286,             0.00066286
                      2,                 1.2963,                 1.4624,                 1.1339,                0.87994,                0.88857,                0.89349,                0.48313,                 1.5505,                 1.3619,                 1.5269,              0.0011979,              0.0011979,              0.0011979
                      3,                 1.2265,                 1.0306,                 1.0967,                0.93249,                0.94717,                0.91827,                 0.4447,                 1.6439,                0.94376,                 1.5083,              0.0016009,              0.0016009,              0.0016009
                      4,                  1.178,                0.83243,                   1.09,                0.94875,                0.95196,                0.92594,                0.44986,                 1.6928,                0.85034,                 1.4726,               0.001406,               0.001406,               0.001406
                      5,                 1.1376,                0.72326,                 1.0702,                0.89074,                0.88514,                0.83075,                0.42607,                 1.6968,                0.85688,                 1.5791,               0.001406,               0.001406,               0.001406
                      6,                 1.0865,                0.65298,                 1.0542,                0.90679,                0.91143,                0.86711,                0.48045,                 1.6455,                0.88787,                  1.573,               0.001208,               0.001208,               0.001208
                      7,                  1.052,                0.60929,                 1.0355,                0.94022,                0.94362,                0.92649,                 0.4976,                 1.6263,                0.70243,                 1.4677,                0.00101,                0.00101,                0.00101
                      8,                0.98557,                 0.5497,                 1.0087,                0.92204,                0.92286,                0.87084,                0.44951,                 1.7384,                0.68705,                  1.627,               0.000812,               0.000812,               0.000812
                      9,                 0.9589,                0.50788,                0.99007,                0.87165,                0.87316,                0.81659,                0.50414,                 1.5924,                0.67929,                 1.5762,               0.000614,               0.000614,               0.000614
                     10,                0.92511,                0.48727,                0.97798,                0.91997,                0.91968,                0.88278,                 0.5414,                 1.6265,                0.62187,                 1.5494,               0.000416,               0.000416,               0.000416
