                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2824,                 3.3574,                 1.0631,                      1,                0.76201,                  0.995,                0.77523,                0.86315,                 2.4293,                0.91315,               0.000657,               0.000657,               0.000657
                      2,                 1.1028,                 1.9191,                0.98219,                0.95766,                0.98331,                0.99225,                0.65267,                 1.1244,                  1.504,                0.99125,              0.0011926,              0.0011926,              0.0011926
                      3,                 1.0114,                 1.6314,                0.97331,                0.99956,                      1,                  0.995,                0.76549,                0.88897,                 1.1604,                0.92627,              0.0015963,              0.0015963,              0.0015963
                      4,                0.99609,                 1.3282,                0.96137,                0.99934,                      1,                  0.995,                0.79083,                0.78255,                0.96259,                0.91747,               0.001406,               0.001406,               0.001406
                      5,                0.92602,                 1.0822,                0.95085,                0.99923,                      1,                  0.995,                0.77118,                0.88939,                0.88613,                0.92757,               0.001406,               0.001406,               0.001406
                      6,                0.88136,                0.93374,                0.92238,                0.99945,                      1,                  0.995,                0.83123,                0.70712,                 0.7271,                0.89663,               0.001208,               0.001208,               0.001208
                      7,                0.82162,                0.80497,                0.91153,                0.99883,                      1,                  0.995,                0.83705,                0.70686,                0.72761,                 0.9047,                0.00101,                0.00101,                0.00101
                      8,                0.80538,                0.73191,                0.92135,                0.99937,                      1,                  0.995,                0.83105,                0.68889,                0.65957,                0.89698,               0.000812,               0.000812,               0.000812
                      9,                0.79843,                0.67079,                0.90718,                0.99904,                      1,                  0.995,                 0.8007,                0.77284,                 0.6233,                0.92934,               0.000614,               0.000614,               0.000614
                     10,                0.76023,                0.63373,                0.88956,                0.99944,                      1,                  0.995,                0.83091,                 0.6716,                0.63139,                0.91109,               0.000416,               0.000416,               0.000416
